OBJECTID,SCAPENAME,PROGRAM,COUNTRY,Name,Region,Reason,sq_km,sq_miles
1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Greater Virunga,Central Africa,,21367,8250
3,Greater Mbam Djerem,Africa,Cameroon,Mbam-Mpim-Dengdeng,Central Africa,,37708,14559
4,West Central Africa Rainforest,Africa,Congo,Conkouati,Central Africa,,5442,2101
6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,Central Africa,,23992,9263
10,West Central Africa Rainforest,Africa,Multiple,Atlantic Coast,Central Africa,,55098,21274
11,Oku-Kahuzi-Kabobo,Africa,DRC,Eastern DRC,Central Africa,,198110,76491
13,West Central Africa Rainforest,Africa,Multiple,Guineo-Congolian inland forests,Central Africa,,429655,165891
14,Guinea-Congo-Sudanian Transition,Africa,Multiple,Guinea-Congo-Sudanian transition,Central Africa,,63528,24528
17,,,Canada,,Boreal,,872879,337021
18,,,Canada,,Boreal,,1189981,459454
22,,,Panam├í y Colombia,Choc├│-Dari├®n,AAO,,81530,31479
23,,,Colombia,Central Andes,AAO,,106990,41309
24,,,Colombia,Orinoqu├¡a,AAO,,115259,44502
30,,,Colombia y Ecuador,South-Choc├│,AAO,,54242,20943
40,Greater Zakouma-Bamingui-Manovo,,Chad y Central African Republic,Bamingui-Bangoran / Manovo-Gounda,Sudano-Sahel,,177873,68677
41,Savannas of the Eastern Sahel,,South Sudan y Ethiopia,Boma-Jonglei-Equatoria - Gambella-Omo,Sudano-Sahel,,287169,110877
48,,,Cuba,,Mesoamerica,,7318,2825
50,,,"Mexico, Belize",Maya Forest and Coast,Mesoamerica,,143620,55452
51,,,"Honduras, Nicaragua",,Mesoamerica,,88487,34165
52,,,"Nicaragua, Costa Rica",,Mesoamerica,,13649,5270
53,,,"Cost Rica, Panama",,Mesoamerica,,46295,17875
54,,,"Panama, Colombia",,Mesoamerica,,36237,13991
62,Greater Ruaha Katavi,,Tanzania,Ruaha-Katavi,East Africa West Indian Ocean,,160176,61844
63,Niyassa-Selous,,Tanzania y Mozambique,Niassa-Selous,East Africa West Indian Ocean,"WCS in Niassa, Others in Selous",274515,105991
65,Madagascar Rainforest,,Madagascar,Madagascar,East Africa West Indian Ocean," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",122094,47141
66,,Asia,China,Changtang,Temperate Asia,"Political, Financial",811187,313201
67,,Asia,"Kyrgyzstan, Tajikistan, China, Pakistan","Upper Syr Darya River Basin, Tian Shan Mountains, Upper Amu Darya River Basin, Greater Pamirs",Temperate Asia,Limitations in B: Financial,905406,349579
68,,Asia,"Russia, China",Northeast Asia Tiger Stronghold,Temperate Asia,,852210,329040
75,,,"Russia, China, Mongolia",Daurian Steppe-Eastern Gobi,Temperate Asia,,1198566,462769
80,,,India,,South Asia,,160432,61943
82,,,India,,South Asia,,86496,33396
84,,,Bangladesh,Sunderbans,South Asia,,13638,5265
85,,,"India, Nepal y Bhutan",Himalayas,South Asia,,818964,316204
91,,,"Cambodia, Thailand",,Greater Mekong,,104587,40381
92,,,Cambodia,,Greater Mekong,,31194,12044
93,,,Laos,,Greater Mekong,,107933,41673
96,,,Myanmar,,Greater Mekong,,92239,35614
100,,,Myanmar y Thailand,,Greater Mekong,,112453,43418
0,,,USA y Canada,Crown of the Continent,,,40214,15527
0,,,USA,Greater Yellowstone,,,72111,27842
0,,,USA,Selmon-Selway Willderness,,,112688,43509
0,,,USA,Greater Gila,,,101628,39239
0,,,USA y Canada,Missouri Grasslands,,,57605,22241
0,,,USA y M├®xico,3,,,20463,7901
0,,,Malaysia,,,,92032,35534
0,,,Philippines,,,,168916,65219
0,,,Indonesia,,,,120602,46565
0,,,Indonesia,,,,230512,89001
0,,,Indonesia,,,,166043,64110
0,,,Malaysia,,,,19686,7601
0,,,Malaysia,,,,31740,12255
0,,,Russian,,Arctic Beringia,,33094,12778
0,,,Russian,,Arctic Beringia,,85422,32982
0,,,USA,,Arctic Beringia,,398945,154034
0,,,USA,,Arctic Beringia,,195404,75446
0,,,Russian,,Arctic Beringia,,217470,83966
0,,,USA,,Arctic Beringia,,398945,154034
0,,,Russian,,Arctic Beringia,,33094,12778
0,,,,,,,531015,205026
0,,,,,,,3367841,1300331
0,,,,,,,500931,193410
0,,,,,,,1200735,463606
0,Fiji,,,Fiji Stronghold,,,199189,76907
0,Solomon Islands,,,Bismarck-Solomon,,,664586,256598
