FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,858,1.7309528415,8,26,18,18.4452214452,3.7877740706,15826,19,18,8,18
1,1522,3.0705247374,3,11,8,7.4185282523,1.3904114819,11291,9,7,3,7
2,219,0.4418166344,7,14,7,10.7214611872,1.3344900218,2348,7,11,7,11
3,967,1.9508524449,9,26,17,15.4756980352,2.419153771,14965,18,15,26,15
4,2008,4.0509945287,6,21,15,12.5184262948,1.3693642611,25137,12,13,19,13
5,7996,16.131350723,4,28,24,12.3789394697,3.3995963442,98982,25,14,28,13
6,17303,34.9075489695,6,17,11,10.2279951454,1.7127329813,176975,12,9,17,10
7,2589,5.2231199377,5,17,12,10.5040556199,1.9970243813,27195,13,10,5,10
8,57796,116.59924292,0,4,4,2.7369368122,1.0985773655,158184,5,4,0,3
9,104397,210.613384371,1,11,10,2.2410605669,0.720133459,233960,9,2,10,2
10,3307,6.6716329216,1,30,29,12.0039310553,3.8790665386,39697,28,13,1,12
11,4320,8.7152870339,4,25,21,10.6428240741,3.2108712021,45977,22,8,24,10
12,4663,9.407264685,4,13,9,6.6006862535,1.7112160312,30779,10,6,13,6
13,2181,4.4000094956,3,34,31,15.9990829895,5.117240692,34894,31,14,3,15
14,7252,14.6303846227,6,21,15,15.140237176,3.0271883177,109797,16,17,6,16
15,11646,23.4949612957,8,24,16,17.1665808003,1.9176062981,199922,15,17,24,17
16,321,0.6475942449,4,17,13,8.2834890966,4.3753780405,2659,11,4,6,6
17,6091,12.2881512323,0,12,12,6.6227220489,1.7168185628,40339,11,8,0,7
18,3675,7.4140462615,2,11,9,6.8565986395,1.866381962,25198,10,8,11,7
19,559,1.1277420028,4,14,10,9.2808586762,2.542977699,5188,10,11,5,10
20,1886,3.8048683671,1,27,26,9.6728525981,4.5607220488,18243,27,4,1,10
21,616,1.2427353734,2,15,13,6.2467532468,2.222411491,3848,13,4,2,6
22,6493,13.0991571091,4,22,18,18.0813183428,1.7775168886,117402,15,18,6,18
23,11241,22.6779031362,7,36,29,12.3308424517,3.1257003047,138611,29,10,36,11
24,5183,10.4563270132,4,43,39,16.8460351148,9.0199377849,87313,40,8,43,14
25,39824,80.3420349166,3,11,8,5.3331157091,1.3538786206,212386,9,4,11,5
26,46622,94.0565074297,6,19,13,10.9065462657,2.4933174902,508485,14,10,6,10
27,51944,104.793256873,2,19,17,12.6321423071,1.8969737627,656164,18,12,19,12
28,67381,135.936286026,8,18,10,12.1691426366,2.0317425863,819969,11,11,18,12
29,6665,13.4461546484,5,46,41,22.5614403601,5.8443564788,150372,41,22,8,22
30,3584,7.2304603541,11,19,8,14.3869977679,1.7622525548,51563,9,14,19,14
31,590,1.190282257,5,21,16,13.2305084746,3.3865764042,7806,17,15,19,14
32,37060,74.7658651569,5,44,39,21.3056395035,8.4974409997,789587,40,24,44,23
33,4327,8.7294090268,15,39,24,29.4622140051,4.622659296,127483,25,31,39,30
34,1282,2.5863421244,7,40,33,30.9235569423,3.4805576082,39644,21,34,14,32
35,4562,9.2035045021,15,38,23,26.7650153441,4.7074915913,122102,24,25,15,27
36,3930,7.9284902878,4,33,29,18.5872773537,9.9969023684,73048,30,6,9,22
37,4702,9.4859443596,19,37,18,29.5693321991,2.9655937732,139035,19,30,19,30
38,2427,4.8962966739,0,4,4,0.8920477956,1.1431738834,2165,5,0,4,0
39,3982,8.0333965206,0,2,2,0.673530889,0.791655082,2682,3,0,2,0
40,6343,12.796542976,0,2,2,0.1316411793,0.3872229427,835,3,0,2,0
41,4915,9.9156564287,1,5,4,3.1719226857,0.9904657731,15590,5,4,5,3
42,3450,6.9601250618,3,4,1,3.0704347826,0.2558783383,10593,2,3,4,3
43,970,1.9569047275,2,4,2,3.2206185567,0.8523996624,3124,3,4,3,3
44,3711,7.4866736535,7,51,44,38.2748585287,5.3092366319,142038,29,35,11,38
45,6894,13.9081455583,2,40,38,14.9953582826,9.9627814167,103378,38,5,4,14
46,4847,9.778471355,4,29,25,19.1792861564,4.5460575476,92962,23,17,4,19
47,9300,18.7620762536,4,45,41,30.447311828,9.5965225713,283160,26,34,4,33
48,6697,13.5107123302,21,45,24,33.6487979692,5.4520042306,225346,25,38,21,35
49,791,1.5957851953,23,59,36,33.7699115044,7.654033409,26712,36,26,54,31
50,99,0.1997253279,29,47,18,41.6262626263,5.1317704401,4121,15,46,29,44
51,4110,8.2916272476,0,4,4,1.5878345499,0.5049130222,6526,5,2,0,2
52,8340,16.8253458016,1,9,8,3.5217026379,1.3930743318,29371,9,3,9,3
53,42196,85.127373075,0,5,5,2.741681676,0.8544454505,115688,6,2,0,3
54,16054,32.3877819544,1,13,12,5.2320294008,1.3522192788,83995,12,5,11,5
55,14533,29.3192746445,0,5,5,3.1465629946,1.07580373,45729,6,2,0,3
58,21501,43.3767098418,1,12,11,4.1885958793,1.9814995187,90059,12,6,11,4
59,136773,275.929618864,0,38,38,12.9240858941,3.3954304362,1767666,39,12,38,13
60,22203,44.7929439849,1,10,9,4.6876998604,1.7866488648,104081,10,6,10,5
61,68083,137.352520169,0,11,11,2.1983314484,2.1090900074,149669,12,1,11,2
62,8427,17.0008619988,2,11,9,5.6760412958,0.5342869357,47832,10,6,11,6
63,26891,54.2506443587,0,19,19,4.9174816853,1.4890161216,132236,17,4,19,5
